,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,,,
34,"342,781","338,625","339,632","340,020","342,058","337,347","326,957","330,367","325,173","328,967","334,287","337,716","337,099","333,790","312,487","332,315","362,070","378,574","374,265","379,228","477,540","433,040","405,216","391,471","381,443","371,948","379,544","380,967","375,570","386,916","393,984","406,403","414,236","425,428","442,191","448,721","458,574","466,020","470,301","467,262","469,242","456,534","452,554","441,939","448,445","436,927","421,817","404,697","398,571","392,002","387,494","391,579","419,275","436,148","437,099","434,159",,,,,,,
35,"352,122","345,621","338,763","339,805","339,138","343,059","335,405","322,567","316,823","322,491","328,103","333,263","336,624","335,819","332,076","310,617","331,070","360,932","377,896","373,026","375,754","474,219","431,872","405,334","391,231","380,834","371,138","378,294","380,502","374,621","386,069","393,775","406,198","413,798","424,544","440,699","447,421","457,506","465,775","470,495","467,910","469,541","458,234","453,130","445,532","450,662","440,602","423,204","404,889","399,225","393,012","386,492","391,241","419,462","437,332","438,530",,,,,,,
36,"354,579","353,812","345,323","338,073","338,348","338,931","341,357","332,732","319,874","315,229","324,518","327,262","331,855","335,319","334,063","330,433","309,098","330,105","360,502","376,827","370,826","373,964","473,265","432,066","405,029","390,421","380,057","369,926","377,640","379,546","374,026","385,374","393,584","406,188","413,719","423,845","439,319","446,403","457,456","465,539","470,602","468,316","470,872","458,155","456,141","446,727","453,909","441,908","423,543","405,723","400,161","392,220","386,384","391,352","420,414","438,648",,,,,,,
37,"360,200","356,261","353,132","344,539","336,773","337,757","337,459","338,546","330,277","317,483","313,962","323,545","326,175","330,041","333,776","331,922","329,066","307,708","330,000","360,244","374,570","368,420","372,113","473,160","431,696","404,241","389,820","379,065","368,818","377,279","379,092","373,436","384,515","393,513","406,284","413,508","422,888","438,087","446,446","457,582","465,592","470,764","469,424","470,604","460,622","457,178","449,149","455,355","442,146","424,268","406,697","399,472","391,879","386,382","392,107","421,655",,,,,,,
38,"364,375","360,826","354,577","352,152","343,438","335,694","336,379","334,920","336,344","328,627","317,341","312,974","321,967","324,449","328,561","331,812","330,528","327,625","307,452","329,386","358,328","372,220","367,063","371,814","472,827","430,987","403,763","389,047","378,400","368,724","376,454","378,216","372,877","383,932","393,820","406,514","413,061","422,098","437,787","446,374","457,675","465,891","471,972","469,217","472,440","461,025","459,133","449,717","455,768","442,887","425,323","405,867","399,591","392,113","387,285","393,382",,,,,,,
39,"386,797","364,883","358,088","352,909","351,175","341,956","334,229","334,056","333,097","334,967","328,032","315,901","312,631","320,272","323,587","326,917","330,608","328,787","327,573","306,789","327,824","356,028","370,674","367,565","371,586","472,293","430,795","403,114","388,145","378,835","368,308","376,128","377,778","372,815","383,953","393,979","406,590","412,998","422,473","437,535","446,624","458,468","467,379","471,612","470,853","472,523","462,300","459,611","449,256","456,509","443,860","424,616","405,993","399,502","392,441","387,930",,,,,,,
40,"410,522","388,092","363,167","356,520","351,749","350,548","342,307","333,481","332,586","331,853","332,121","327,438","315,292","311,196","318,938","322,318","326,137","329,270","328,707","326,072","304,808","326,998","355,995","371,544","367,442","371,191","472,112","430,143","402,348","388,807","378,560","367,994","375,079","377,289","373,039","383,626","394,035","406,596","413,122","421,621","435,946","449,171","458,258","465,939","472,793","469,302","471,928","461,902","460,477","447,370","455,459","442,685","424,786","405,707","399,874","392,911",,,,,,,
41,"397,543","409,807","385,247","360,949","354,724","351,323","349,361","340,964","331,284","331,072","331,708","331,675","326,056","313,854","310,420","317,896","321,837","325,117","328,744","327,674","324,277","304,056","326,293","355,350","371,109","366,531","370,378","471,134","429,910","402,698","388,135","377,789","367,708","374,715","377,044","373,043","383,193","393,931","407,261","413,353","421,350","437,921","449,131","456,876","467,001","471,294","468,503","471,065","462,012","458,585","445,586","454,295","442,618","424,496","405,771","399,936",,,,,,,
42,"307,853","405,966","405,460","382,968","359,158","354,581","350,389","347,849","338,847","329,745","329,409","331,296","330,876","324,378","312,240","309,294","316,986","320,789","324,170","328,174","325,469","323,073","302,847","325,428","354,631","370,301","365,621","369,305","470,784","428,881","401,857","387,093","376,701","367,509","374,366","376,938","372,874","382,779","394,405","407,677","413,177","423,131","437,710","448,373","457,943","465,966","470,612","467,603","470,852","459,669","456,783","444,650","454,204","442,518","425,003","406,621",,,,,,,
43,"285,821","301,829","409,347","401,785","380,838","358,622","353,115","348,400","345,780","337,513","328,834","328,076","330,210","329,268","323,376","311,061","308,783","316,145","320,048","323,318","326,032","324,241","321,728","301,822","324,794","353,640","369,390","364,411","368,643","469,282","428,232","400,926","386,367","375,807","367,533","373,848","376,430","372,683","382,864","395,186","407,918","414,735","422,894","436,432","449,555","457,033","465,473","469,637","467,204","468,450","457,484","455,623","444,442","454,049","443,067","425,495",,,,,,,
