,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,
22,"339,889","337,108","322,631","339,785","368,652","381,777","377,261","381,128","481,759","439,130","413,971","397,137","386,195","376,640","380,623","383,458","375,433","387,038","398,383","411,425","421,358","429,982","447,071","459,501","469,517","478,172","478,468","466,819","458,880","447,307","443,403","426,705","431,416","411,441","389,154","365,758","353,664","343,298","333,080","337,549","359,230","380,070","384,517","377,901","387,363","396,772","412,746","415,513","413,622","424,691","423,010","424,725","434,604","431,518","418,170","415,997",,,,,
23,"338,891","340,627","338,084","321,576","340,393","370,169","381,387","378,033","380,746","482,663","443,224","413,403","398,080","386,183","376,822","381,269","384,264","375,877","386,823","399,465","411,669","418,698","428,232","447,379","460,008","470,196","478,028","477,592","467,251","459,015","448,646","444,505","428,099","433,370","414,749","391,899","368,381","356,112","348,204","338,841","344,491","367,187","387,314","393,983","392,452","401,684","407,017","422,241","420,480","421,609","434,139","428,938","430,208","440,820","439,399","424,931",,,,,
24,"331,408","339,419","341,243","338,095","321,517","341,239","369,080","382,007","377,627","381,106","481,265","442,421","412,663","398,110","385,483","377,091","381,720","384,957","375,537","386,974","399,641","408,354","416,994","428,489","447,866","460,802","469,844","477,037","477,580","467,361","460,272","449,304","445,085","429,848","435,033","416,930","394,059","370,857","360,927","352,670","345,593","351,258","374,286","397,039","407,742","406,713","413,433","416,673","427,027","427,360","429,936","437,730","432,384","434,310","446,869","444,270",,,,,
25,"327,684","332,901","337,726","338,932","336,489","321,611","338,940","367,036","380,557","374,893","381,246","479,864","441,517","410,592","395,682","384,441","376,802","381,783","384,013","375,183","387,563","396,389","406,694","417,583","428,879","448,525","460,530","468,854","477,063","477,729","468,960","460,985","450,053","446,595","431,804","436,614","419,340","396,893","376,146","367,986","357,524","349,879","356,463","382,066","408,562","414,187","415,765","418,624","419,500","431,184","430,890","432,413","440,297","435,672","439,199","450,772",,,,,
26,"321,625","328,412","332,279","336,381","338,725","335,725","319,797","336,481","363,383","379,321","374,688","379,593","479,034","438,915","408,027","394,744","384,106","376,232","380,770","383,758","375,719","384,291","394,562","407,354","418,486","429,601","448,385","459,315","468,842","477,033","478,825","469,079","461,823","451,954","448,310","433,515","438,431","422,460","401,765","382,736","372,191","361,717","355,046","362,729","392,815","415,227","422,475","420,976","423,259","423,853","434,445","433,097","434,845","443,412","440,630","443,360",,,,,
27,"314,854","322,279","327,935","331,344","335,910","338,537","334,346","316,053","332,852","362,142","376,319","373,129","378,230","476,457","436,258","407,317","394,263","383,367","375,085","380,310","381,338","372,323","382,176","394,902","408,208","419,583","429,467","447,422","459,466","468,652","477,660","478,006","469,318","463,889","453,782","449,758","435,513","440,597","427,116","407,703","386,802","375,782","366,423","361,056","371,455","398,984","423,379","426,983","425,419","429,033","427,294","436,159","435,303","437,881","448,203","444,416",,,,,
28,"320,638","316,017","321,824","326,945","331,279","336,184","336,807","331,958","312,567","329,283","360,926","375,267","372,118","375,498","473,867","435,508","407,051","393,568","382,440","374,268","379,534","378,067","370,059","382,043","395,551","409,406","419,586","428,349","447,240","458,795","469,120","476,393","477,139","470,392","464,997","455,336","451,084","437,489","443,757","433,061","411,401","389,965","380,148","372,063","369,332","376,335","406,555","428,085","431,072","431,238","433,973","428,939","437,827","437,818","442,025","451,898",,,,,
29,"329,289","320,730","315,596","320,564","326,817","331,147","334,607","333,844","329,517","309,144","330,575","359,844","374,321","369,581","373,750","473,345","434,981","406,492","392,594","381,798","372,798","376,033","375,773","369,931","382,202","396,337","409,512","418,826","428,008","446,389","458,941","468,276","475,373","477,733","470,939","466,349","456,932","452,686","440,390","447,755","436,287","414,000","393,764","385,293","379,660","373,756","382,045","411,012","432,199","436,054","436,106","435,282","430,737","440,427","441,974","445,359",,,,,
30,"339,010","330,648","319,114","312,924","318,931","325,911","328,850","330,263","330,638","327,101","309,586","329,343","358,727","372,220","367,351","373,564","472,750","434,096","405,402","391,687","379,141","370,041","374,464","375,775","370,465","383,348","397,211","409,877","419,322","428,074","447,437","457,446","467,244","475,552","477,510","471,625","467,840","458,331","455,427","444,453","450,321","438,452","416,466","395,385","391,313","385,165","375,748","386,877","413,623","436,087","439,051","437,079","436,631","432,652","443,595","444,522",,,,,
31,"336,654","340,262","329,281","316,481","312,457","319,696","324,892","326,631","328,395","329,033","328,340","308,532","328,792","357,299","370,535","367,150","373,349","471,920","433,126","405,147","391,013","377,035","368,967","374,604","376,471","371,543","383,647","397,210","410,305","420,043","428,919","446,813","456,763","467,856","475,201","477,627","472,447","468,855","460,367","458,180","446,395","452,606","440,107","417,841","400,326","395,926","387,000","380,013","388,352","417,291","439,370","439,897","438,111","437,706","434,663","445,011",,,,,
32,"336,606","338,912","339,456","327,274","315,755","312,844","318,612","323,007","324,918","326,815","329,063","327,698","308,047","327,251","355,679","370,392","366,877","372,341","471,121","432,940","404,299","389,429","376,253","369,218","375,564","377,741","372,081","383,767","397,952","411,638","421,525","428,634","446,177","457,363","467,653","475,385","478,050","472,924","470,525","463,037","460,038","448,305","455,014","440,886","422,322","404,412","397,614","391,233","381,643","390,768","420,458","440,236","440,844","439,177","439,796","436,330",,,,,
33,"335,754","338,585","338,961","337,681","326,862","316,908","311,785","316,641","321,835","323,905","326,540","328,477","327,170","305,967","326,433","355,135","370,340","366,179","371,974","470,805","432,633","403,185","388,959","376,586","370,234","376,835","378,251","372,341","384,162","399,299","413,297","421,315","428,378","446,740","456,966","467,757","475,491","478,174","473,973","472,736","464,613","461,683","449,870","456,095","444,151","425,471","405,603","401,115","392,864","383,934","392,630","420,837","440,949","441,830","441,050","441,075",,,,,
34,"343,731","337,444","338,290","337,839","337,810","326,791","315,890","310,351","315,387","320,637","323,709","325,855","328,050","325,124","304,461","325,893","354,730","369,642","365,955","371,622","470,712","431,999","403,327","389,514","377,901","371,682","377,596","378,801","372,762","385,529","401,096","413,325","420,921","428,993","446,250","456,830","467,812","475,295","478,592","475,680","474,120","466,084","463,045","450,470","459,627","446,694","426,441","408,755","402,638","395,310","386,014","392,638","421,492","441,771","443,329","441,961",,,,,
35,"353,534","345,349","337,166","337,582","338,323","336,782","325,462","313,882","308,340","313,015","319,679","323,077","325,316","326,728","322,896","303,909","325,738","354,091","369,192","365,644","371,176","470,500","432,490","404,002","390,829","378,527","372,199","377,896","379,377","374,120","386,580","400,665","412,936","421,051","428,011","445,538","456,272","467,367","475,486","479,312","476,154","475,090","465,793","464,508","451,861","461,586","448,115","428,223","411,120","403,666","395,571","385,975","393,045","422,429","443,039","444,148",,,,,
36,"355,817","353,857","345,522","336,151","337,833","336,597","335,429","324,506","312,806","307,660","315,235","319,245","322,340","324,149","325,515","322,302","303,400","325,138","353,787","368,852","365,240","370,643","470,502","432,678","404,884","391,576","379,440","372,589","378,305","380,303","375,151","386,910","400,743","413,850","420,710","427,973","445,657","456,247","468,165","476,509","479,485","477,227","474,411","467,068","465,644","453,086","463,389","449,189","430,122","411,814","403,845","395,704","386,510","394,056","424,046","444,196",,,,,
37,"363,022","356,384","353,143","344,930","335,781","336,089","335,280","334,826","323,943","311,929","307,197","314,406","318,718","320,987","323,172","324,908","321,608","302,759","324,801","353,211","368,278","364,722","370,042","470,550","433,147","405,159","391,724","379,382","372,530","378,882","380,883","375,760","387,003","401,359","413,429","420,317","427,677","445,162","456,245","468,446","476,076","480,667","476,889","475,202","468,103","466,697","454,242","464,985","450,584","430,626","411,842","403,708","395,933","387,381","395,566","425,202",,,,,
38,"368,919","362,975","355,604","351,964","344,877","334,344","334,963","335,593","334,434","322,978","311,161","306,425","313,799","317,423","320,191","322,546","324,045","320,934","302,630","324,300","352,927","367,203","363,902","369,417","470,501","432,832","404,624","391,276","378,630","372,631","378,976","380,855","376,121","387,726","400,997","413,499","420,078","427,571","445,314","456,710","468,290","477,229","480,547","477,822","475,605","469,098","467,825","455,327","466,928","450,501","430,362","411,951","404,075","396,783","388,680","396,362",,,,,
